IES,Semestre,Materia,Disciplina,Ementa,,,
centro universitário do triângulo,6,enfermagem em saúde da mulher e do recém nascido,a mulher na rede de atenção à saúde i,"política nacional de assistência à saúde da mulher. questões de gênero e os programas do ministério da saúde. estudo do ciclo vital feminino e do processo reprodutivo. planejamento familiar. pré-natal: planejamento, execução e avaliação a assistência de enfermagem à gestante. aspectos preventivos do câncer ginecológico e de mamas. climatério. doenças prevalentes nas mulheres. minorias e questão de inclusão social. grupo lgbtqia+.",433,,
centro universitário do triângulo,6,enfermagem em saúde da mulher e do recém nascido,a mulher na rede de atenção à saúde ii,"política nacional de assistência à saúde da mulher. problemática nacional, programas e subprogramas. estudo do ciclo vital feminino e do processo reprodutivo. planejamento familiar. pré-natal: planejamento, execução e avaliação da assistência de enfermagem à gestante. aspectos preventivos do câncer ginecológico e de mamas.",324,,
centro universitário do triângulo,9,estágio curricular supervisionado de assistência de enfermagem hospitalar,estágio supervisionado em enfermagem i,atividades de estágio supervisionado obrigatório operacionalizado na atenção primária. consulta de enfermagem na ubsf. gerenciamento de ubsf. gerenciamento de políticas e programas do ministério da saúde. visitas domiciliares. supervisão das ações dos agentes comunitários de saúde e de agentes de endemias. trabalho em equipe multidisciplinar. diagnóstico de território. vigilância em saúde.,392,,
centro universitário do triângulo,9,estágio curricular supervisionado de assistência de enfermagem hospitalar,estágio supervisionado em enfermagem ii,"estágio supervisionado obrigatório com atuação na área de unidades de saúde especializadas como pronto atendimento, clínica médica, ambulatórios, instituições hospitalares da rede pública ou privada e unidade de atendimento integrado na assistência de enfermagem fundamentada nos aspectos técnicos e científicos.",312,,
centro universitário do triângulo,9,estágio curricular supervisionado de assistência de enfermagem hospitalar,estágio supervisionado em enfermagem iii,"estágio supervisionado obrigatório com atuação na área de unidades de saúde especializadas como pronto atendimento, clínica médica, ambulatórios, instituições hospitalares da rede pública ou privada e unidade de atendimento integrado na assistência de enfermagem fundamentada nos aspectos técnicos e científicos.",312,,
centro universitário do triângulo,4,farmacologia geral,fundamentos de farmacologia,farmacologia geral. fatores que interferem na ação farmacológica. farmacologia específica,89,,
centro universitário do triângulo,2,fisiologia humana,fisiologia humana,"introdução à fisiologia humana; fisiologia do sistema nervoso; fisiologia do sistema cardiovascular; fisiologia do sistema respiratório; fisiologia nervosa, fisiologia muscular; fisiologia do sistema digestório; fisiologia renal; fisiologia endócrina e fisiologia da reprodução.",278,,
centro universitário do triângulo,8,gerenciamento em enfermagem,administração e gerenciamento em enfermagem,"teorias da administração e a enfermagem, liderança do enfermeiro, administração dos recursos materiais, administração dos conflitos e negociações, motivação na enfermagem, comunicação interpessoal e organizacional. dimensionamento e distribuição de pessoal de enfermagem. humanização dos serviços de saúde. gestão de qualidade. o serviço de enfermagem na estrutura organizacional das instituições de saúde. o processo administrativo da enfermagem no âmbito das instituições de saúde. recursos organizacionais indispensáveis ao desempenho da enfermeira na administração do serviço de enfermagem. as relações de trabalho e sua dinâmica na organização e no funcionamento das instituições de saúde. a administração de enfermagem como função do enfermeiro. o gerenciamento do serviço de enfermagem e sua inter-relação com a equipe multiprofissional. gestão em saúde e mecanismos de acreditação.",889,,
centro universitário do triângulo,10,Trabalho de conclusão de curso,trabalho de conclusão de curso em enfermagem,"o trabalho de conclusão de curso (tcc). revisão dos conceitos básicos de método científico, ciência e técnicas de pesquisa. metodologias de pesquisa. amostragem, observação, elaboração, análise e interpretação de dados, trabalhos e publicações científicas, referências bibliográficas e normas da abnt. orientações para a elaboração do tcc. elaboração do projeto de tcc. importância da aprovação no conselho de ética para pesquisas em humanos.",442,,
centro universitário do triângulo,3,enfermagem em saúde coletiva,a enfermagem nas ações e ministério da saúde,a enfermagem e o sistema único de saúde.,40,,
centro universitário do triângulo,3,enfermagem em saúde coletiva,a prática assistencial nas doenças crônicas não transmissíveis,"conceito de saúde e doença e história natural da doença. medidas de frequência. indicadores de saúde e doença. qualidade de vida. conceitos de endemia, epidemia, pandemia. delineamentos de estudos epidemiológicos. transição demográfica. transição epidemiológica. epidemiologia das doenças crônicas não transmissíveis. política nacional de saúde. sistemas de informação em saúde. vigilância epidemiológica. noções básicas de vigilância sanitária e vigilância ambiental.",468,,
centro universitário do triângulo,6,enfermagem em doenças tropicais e transmissíveis,a prática assistencial nas doenças crônicas transmissíveis,"assistência de enfermagem a pacientes com doenças transmissíveis, enfocando os aspectos preventivos, curativos e de reabilitação quando existe a necessidade de internação hospitalar. visualização da problemática das doenças transmissíveis em nosso estado, enfatizando os aspectos preventivos, curativos e educação para a saúde. tópicos – precauções, imunização, doenças passíveis de imunização, doenças não passíveis de imunização, doenças sexualmente transmissíveis, doenças meningocócicas. controle das principais doenças transmissíveis de notificação compulsória. metodologia epidemiológica. o processo infeccioso. o quadro epidemiologia descritiva e analítica. epidemiologia dos agravos de maior importância para a saúde.",725,,
centro universitário do triângulo,2,políticas públicas e atenção primária à saúde,epidemiologia e saúde pública,"conceito de epidemiologia, contexto histórico e principais usos. conceito de saúde e doença e história natural da doença. medidas de frequência. indicadores de saúde e doença. qualidade de vida. conceitos de endemia, epidemia, pandemia. delineamentos de estudos epidemiológicos. transição demográfica. transição epidemiológica. epidemiologia das doenças infecciosas e parasitárias. epidemiologia das doenças crônicas não transmissíveis. política nacional de saúde. sistemas de informação em saúde. vigilância epidemiológica. noções básicas de vigilância sanitária e vigilância ambiental.",587,,
centro universitário do triângulo,7,enfermagem em saúde mental e psiquiátrica,psicologia e políticas públicas em saúde mental e coletiva,saúde mental. políticas de saúde mental. assistência de enfermagem ao doente mental. programa nacional de atenção à saúde mental. fatores intervenientes na saúde mental. personalidade e ajustamento neurose / psicoses. o enfermeiro e o processo de cuidar em enfermagem psiquiátrica na perspectiva de reforma psiquiátrica. modalidades terapêuticas em enfermagem psiquiátrica. dispositivos de cuidar em psiquiatria. o enfermeiro e o processo de reabilitação psicossocial do doente mental. toxicomanias.,499,,
centro universitário para o desenvolvimento do alto vale do itajaí,5,enfermagem em saúde do adulto,atividade assistencial na atenção integral à saúde do adulto em emergência e uti,atividade assistencial ao cliente em situações de emergência. atividades de promoção à saúde do cliente e família em risco iminente. atividade assistencial ao paciente de terapia intensiva. atividade de promoção à saúde do cliente e à família do internado em uti.,263,,
centro universitário para o desenvolvimento do alto vale do itajaí,9,estágio curricular supervisionado de assistência de enfermagem hospitalar,atividade prática do cuidado em enfermagem,assistência de enfermagem ao cliente hospitalizado. o processo de cuidar mediado por técnicas e procedimentos de enfermagem. desenvolvimento de habilidades e competências alinhadas ao planejamento e implementação do processo de cuidar.,235,,
centro universitário para o desenvolvimento do alto vale do itajaí,6,bioestatistica e epidemiologia,epidemiologia,"processo saúde doença. noções de epidemiologia descritiva e analítica e sua importância para o planejamento em saúde. os dados e a informação em saúde. indicadores de saúde. os sistemas de informação em saúde e sua aplicabilidade como suporte na avaliação, planejamento e gerenciamento. vigilância epidemiológica (controle de doenças e imunização).",348,,
centro universitário para o desenvolvimento do alto vale do itajaí,8,Estação de Aprendizado_VI,fundamentos do processo de cuidar em enfermagem,"fundamentação teórica e prática dos cuidados de enfermagem. processo de enfermagem. prescrição de enfermagem. desenvolvimento de habilidades técnicas, e os instrumentos básicos. metodologia dos cuidados de enfermagem. legislação específica. sistematização da assistência de enfermagem.",285,,
centro universitário para o desenvolvimento do alto vale do itajaí,7,enfermagem em trauma e emergência,atenção integral à saúde do adulto e do idoso em emergência e uti,"generalidades sobre o serviço de emergência e de uti, classificação de risco, legislação vigente e resoluções sobre o atendimento ao paciente com necessidades urgentes e emergentes e gravemente enfermo. distúrbios respiratórios e ventilatórios, cardiovasculares, metabólicos, neurológicos. assistência de enfermagem ao paciente com alteração multissistêmicas e gravemente enfermo. assistência de enfermagem ao paciente traumatizado e politraumatizado, segundo o atls. assistência de enfermagem e sistematização do cuidado ao paciente grave. humanização ao paciente e família em situações críticas. drogas vasoativas e sedativas. conceito, fisiopatologia e tratamento aos diferentes tipos de choque (séptico, neurogênico, cardiogênico, hipovolêmico, hemorrágico, anafilático, misto). atendimento a pcr segundo o acls.",816,,
centro universitário para o desenvolvimento do alto vale do itajaí,5,enfermagem em saúde do idoso,atenção integral à saúde do adulto e idoso em saúde mental,"o desenvolvimento da loucura nas suas diferentes concepções e momentos históricos, bem como a história da psiquiatria e suas reformas. princípios da saúde mental coletiva e rede de apoio para a reinserção social. o cuidado de enfermagem à pessoa em sofrimento psíquico dentro de abordagem psicossocial pautada na política nacional de saúde mental e nos princípios do sus. o fenômeno das drogas dentro da sociedade moderna. sistematização da assistência de enfermagem no contexto biológico, ético, político e socioeducativo. a participação do enfermeiro na equipe multidisciplinar de saúde mental.",596,,
centro universitário para o desenvolvimento do alto vale do itajaí,5,enfermagem em saúde do idoso,atividade assistencial à saúde do adulto e do idoso em saúde mental,atividade assistencial na rede hospitalar e nos centros de atenção psicossocial ao cliente com distúrbios mentais. atividades de promoção à saúde do cliente com distúrbios mentais e família.,190,,
centro universitário para o desenvolvimento do alto vale do itajaí,5,enfermagem em saúde do idoso,atenção integral à saúde do adulto e do idoso i,"o homem adulto na sociedade. qualidade de vida e envelhecimento saudável. o idoso e a legislação. atenção à saúde do adulto/idoso portadores de patologias crônicas. o adulto/idoso, sexualidade e infecções sexualmente transmissíveis. doenças preveníveis por vacinação e o calendário vacinal do adulto e do idoso. sistematização da assistência de enfermagem ao adulto/idoso na rede básica.",387,,
centro universitário para o desenvolvimento do alto vale do itajaí,5,enfermagem em saúde do idoso,atenção integral à saúde do adulto e do idoso ii,"o adulto e idoso na internação hospitalar (aspectos gerais). a assistência ao adulto e ao idoso com problemas cardiocirculatórios, respiratórios, digestivos, osteomusculares, renais e neurológicos. atenção ao familiar do adulto/idoso internado. clínica cirúrgica. centro cirúrgico. instrumentação cirúrgica. assistência ao cliente no pré-operatório, transoperatório e pós-operatório. sistematização de assistência de enfermagem perioperatória (saep). cuidados de enfermagem no centro de material esterilizado, limpeza, desinfecção, área de preparo de produtos para saúde, esterilização, monitorização das etapas do processamento. protocolos de prevenção de infecção relacionada a assistência perioperatória. segurança do paciente em cirurgia segura.",749,,
centro universitário para o desenvolvimento do alto vale do itajaí,6,enfermagem em saúde da criança e do adolescente,atenção integral à saúde da criança e do adolescente,"atenção integral à saúde da criança (acompanhamento do crescimento e desenvolvimento, aleitamento materno, imunização). atenção à saúde da criança com doenças parasitárias e infecciosas recorrentes na infância. a vigilância nutricional e atenção à criança com desnutrição. maus tratos (violência doméstica). adolescente- trabalho, sexualidade e ists, drogas. a legislação x criança e adolescente (estatuto da criança e do adolescente). interação com a família da criança cronicamente doente. promoção da saúde infantil. sistematização da assistência à criança/adolescente na atenção básica e hospitalar.",603,,
centro universitário para o desenvolvimento do alto vale do itajaí,5,Estação de Aprendizado_III,atenção integral à saúde da mulher,"estudo dos aspectos fundamentais da assistência à saúde da mulher segundo as diretrizes do programa nacional de atenção integral à saúde da mulher. a mulher e a sociedade (a mulher contemporânea). a mulher e a legislação. planejamento familiar, preventivo do câncer de mama e do colo do útero, pré-natal de baixo e alto risco. a mulher e a sexualidade nas diversas fases da vida. a mulher mãe (puerpério imediato, o primeiro filho, a multípara, etc.). a mulher portadora de doenças ginecológicas agudas e crônicas. a mulher e a internação. a mulher e cirurgias ""mutilantes"". a mulher e a maternidade, trabalho de parto, parto e puerpério imediato e abortamento. assistência ao binômio mãe/filho no período pós-natal. aleitamento materno. assistência à mulher e à família no incentivo à amamentação. sistematização da assistência de enfermagem à mulher na rede básica de saúde e na rede hospitalar.",897,,
centro universitário para o desenvolvimento do alto vale do itajaí,5,Estação de Aprendizado_III,"atividade assistencial à saúde da mulher, da criança e do adolescente","atividade assistencial à mulher na rede básica de saúde. promoção da saúde à mulher trabalhadora. atividade assistencial à mulher na rede hospitalar, durante o trabalho de parto, parto e puerpério imediato/mediato. atividades de promoção em saúde à mulher durante a internação e na alta. atividade assistencial à criança/adolescente na unidade básica de saúde e na internação. atividade de promoção à saúde da criança e do adolescente, nas unidades hospitalares, básicas e nas escolas e creches.",495,,
centro universitário para o desenvolvimento do alto vale do itajaí,10,estágio curricular supervisionado em assistência de enfermagem à atenção primária à saúde,estágio supervisionado i,atividades assistenciais e gerenciais de enfermagem em ambiente hospitalar e na atenção primária à saúde. diagnóstico situacional. planejamento em saúde. educação permanente em saúde.,183,,
centro universitário para o desenvolvimento do alto vale do itajaí,10,estágio curricular supervisionado em assistência de enfermagem à atenção primária à saúde,estágio supervisionado ii,atividades assistenciais e gerenciais de enfermagem desenvolvidas junto a hospitais e serviços de atenção primária à saúde. sistematização da assistência de enfermagem a indivíduos e coletividade. educação permanente em saúde.,226,,
centro universitário para o desenvolvimento do alto vale do itajaí,5,enfermagem em saúde do idoso,atividade assistencial à saúde do adulto e idoso i,atividade assistencial aplicada ao adulto/idoso. o processo de cuidar frente ao envelhecimento. atividade de promoção e recuperação em saúde ao adulto/idoso. sistematização da assistência de enfermagem ao adulto e idoso na atenção primária e rede hospitalar.,258,,
centro universitário para o desenvolvimento do alto vale do itajaí,5,enfermagem em saúde do idoso,atividade assistencial à saúde do adulto e idoso ii,"atividades assistenciais ao adulto e o idoso hospitalizado em unidades cirúrgicas, centros cirúrgicos, sala de recuperação anestésica. atividades assistenciais ao adulto em central de material esterilizado. atuação do enfermeiro na promoção à saúde do adulto e do idoso com intercorrências cirúrgicas.",301,,
centro universitário para o desenvolvimento do alto vale do itajaí,5,ética e bioética em saúde,fundamentos sociológicos e antropológicos,"contexto histórico, sociopolítico e filosófico do surgimento da nova ciência. indivíduo e sociedade. as principais correntes das teorias clássicas sociológicas e contemporâneas e seus precursores. cultura, identidade e diversidade cultural. direitos humanos. relações étnico- raciais e de gênero. etnia e história da cultura afro-brasileira e indígena. sociedade, inclusão e responsabilidade social.",399,,
centro universitário para o desenvolvimento do alto vale do itajaí,5,farmacologia clínica,farmacologia i,conceitos e princípios básicos da terapia farmacológica. vias de administração de fármacos e farmacocinética. interações fármaco-receptor e farmacodinâmica. fármacos que afetam o sistema nervoso autônomo. agonistas e antagonistas colinérgicos. agonistas e antagonistas adrenérgicos.,282,,
centro universitário para o desenvolvimento do alto vale do itajaí,4,farmacologia geral,farmacologia ii,"fármacos que afetam o sistema cardiovascular e renal. fármacos que agem no sistema endócrino e reprodutor. fármacos gastrintestinais. fármacos que afetam o sistema respiratório. fármacos anti-inflamatórios, antipiréticos e analgésicos. fármacos que agem no sistema nervoso central. quimioterapia das doenças infecciosas. farmacoterapia das doenças neoplásicas.",360,,
centro universitário para o desenvolvimento do alto vale do itajaí,2,fisiologia humana,filosofia,"origem e escopo. filosofia, lógica e argumentação. metafísica e ontologia. epistemologia: conceito de conhecimento, casos gettier, ceticismo, teorias do conhecimento. ética: metaética, ética normativa, ética aplicada. estética e filosofia da arte.",247,,
centro universitário para o desenvolvimento do alto vale do itajaí,2,fisiologia humana,fisiologia i,introdução ao estudo da fisiologia humana. fisiologia do controle e função endócrina. fisiologia do sistema renal. fisiologia do sistema digestório.,148,,
centro universitário para o desenvolvimento do alto vale do itajaí,2,fisiologia humana,fisiologia ii,introdução à neurofisiologia e sistema neuroendócrino. aspectos fisiológicos do sistema de movimento. fisiologia do sistema cardíaco e pulmonar.,144,,
centro universitário para o desenvolvimento do alto vale do itajaí,8,gerenciamento em enfermagem,organização e gestão dos serviços de saúde,"sistemas organizacionais, teorias administrativas e sua influência nas instituições de saúde. funções administrativas do enfermeiro nos serviços de saúde. noções de planejamento em saúde. organização e gerenciamento das instituições de saúde. financiamento para o setor saúde. a política de recursos humanos da equipe de enfermagem gestão de recursos materiais. controle de qualidade e avaliação nos serviços de saúde. processo de comunicação e o processo decisório. teorias de liderança e sua aplicação no gerenciamento dos serviços de enfermagem.",548,,
centro universitário para o desenvolvimento do alto vale do itajaí,op,Nutrigao Aplicada a Enfermagem,fundamentos de nutrição,conceitos básicos de nutrição. leis da alimentação. valor nutricional dos alimentos: macronutrientes e micronutrientes. avaliação do estado nutricional. nutrição básica nos ciclos vitais. dietas hospitalares. educação nutricional. guia alimentar para a população brasileira.,274,,
centro universitário para o desenvolvimento do alto vale do itajaí,op,Nutrigao Aplicada a Enfermagem,- Fundamentos da Nutrição,Conceitos fundamentais em nutrição. Leis e princípios da alimentação. Valor nutricional dos alimentos: macro e micronutrientes. Avaliação do estado nutricional e suas ferramentas. Nutrição ao longo do ciclo de vida: da infância à terceira idade. Dietas e terapias nutricionais hospitalares. Educação nutricional: estratégias e métodos. Guia alimentar para a população brasileira e suas recomendações nutricionais.,413,,
centro universitário para o desenvolvimento do alto vale do itajaí,1,história e teoria da enfermagem,bases teóricas e metodológicas da enfermagem,"aplicação das teorias de enfermagem e do processo de enfermagem. sistematização da assistência de enfermagem. princípios científicos da enfermagem. teoria da ciência de enfermagem. introdução ao estudo das teorias de enfermagem. principais teorias, características e aplicabilidade. enfermagem baseada em evidências. principais classificações diagnósticas.",356,,
centro universitário para o desenvolvimento do alto vale do itajaí,2,metodologia científica,projetos assistenciais e de pesquisa,"a ciência, o conhecimento científico e outros tipos de conhecimento. projeto de pesquisa. abordagem de temas de interesse da área de saúde na pesquisa. diagnóstico situacional em saúde. planejamento de propostas sociais e assistenciais.",236,,
centro universitário para o desenvolvimento do alto vale do itajaí,2,políticas públicas e atenção primária à saúde,terapias complementares e vivências,holismo em saúde. possibilidades terapêuticas e aplicabilidade das práticas integrativas e complementares (pic) na atenção à saúde. diretrizes da política nacional de práticas integrativas e complementares - pnpic.,214,,
centro universitário para o desenvolvimento do alto vale do itajaí,10,Trabalho de conclusão de curso,trabalho de conclusão de curso,promoção de pensamento científico e crítico. a prática assistencial da enfermagem como fundamento para a produção de conhecimento articulado às normas de iniciação científica.,175,,
centro universitário para o desenvolvimento do alto vale do itajaí,3,enfermagem em saúde coletiva,saúde coletiva i,historicidade da saúde e doença - evolução e conceito. a abordagem do processo saúde/doença das famílias e do coletivo. o enfermeiro frente ao processo saúde/doença do indivíduo e sociedade. políticas públicas em saúde e o sistema único de saúde. controle social. o trabalho humano e suas transformações. o processo de trabalho em saúde - os serviços de saúde. marcos históricos do processo de trabalho e da política de saúde no brasil. a formação do profissional de saúde no contexto atual. a promoção da saúde. educação permanente em saúde.,542,,
centro universitário para o desenvolvimento do alto vale do itajaí,3,enfermagem em saúde coletiva,saúde coletiva ii,"transformações dos padrões e tipos de família, relação família-sociedade e ciclo de vida da família. dinâmicas saudáveis do viver em família e desafios contemporâneos para atuação da enfermagem. estratégia saúde da família. cuidado em saúde para famílias e coletividades: genograma, ecomapa, visita domiciliar, entrevista familiar, interconsulta, apoio matricial. a atuação do enfermeiro frente ao processo saúde doença: doenças crônicas, doença na criança, doença na família, violência comunitária e intrafamiliar, morte. planejamento e educação em saúde.",556,,
centro universitário para o desenvolvimento do alto vale do itajaí,5,educação ambiental e sustentabilidade,saúde e meio ambiente,"a relação poluição e saúde. saneamento básico: abastecimento de água potável, esgotamento sanitário, limpeza urbana e manejo de resíduos sólidos, drenagem e manejo das águas pluviais urbanas e suas relações com a saúde. mecanismos de controle e erradicação de doenças oriundas da falta de saneamento básico. contaminação por resíduos hospitalares. plano de gerenciamento de resíduos sólidos da saúde.",400,,
faculdade de enfermagem nossa senhora das graças (fensg) da universidade de pernambuco (upe),2,fisiologia humana,processo saúde-doença,"avaliar a situação de saúde coletiva e individual utilizando-se do diagnóstico epidemiológico e clínico reconhecendo a organização de serviço, do processo de trabalho em enfermagem e a sistematização da assistência, de aspectos da entrevista e da avaliação familiar. anatomia e fisiologia dos sistemas orgânicos. considerações da imunologia, temas em bioquímica, citologia e histologia. considerações filosóficas, epistemológicas e psicológicas do cuidado do outro.",465,,
faculdade de enfermagem nossa senhora das graças (fensg) da universidade de pernambuco (upe),9,estágio curricular supervisionado de assistência de enfermagem hospitalar,estágio supervisionado ii,"sistematização da assistência de enfermagem na média e alta complexidade, estrutura física do serviço de saúde, organização (participação) da equipe de saúde, exercício do trabalho em equipe, trabalho interprofissional e ações de promoção de saúde.",248,,
faculdade de enfermagem nossa senhora das graças (fensg) da universidade de pernambuco (upe),10,Trabalho de conclusão de curso,trabalho de conclusão de curso - tcc,"sistematização da assistência de enfermagem nas ações gerenciais, educativas, de vigilância em saúde e pesquisa, inseridas nas equipes interprofissionais de saúde e comunidades, nos diversos cenários de aprendizagem da rede de atenção à saúde de baixa e média complexidade. desenvolvimento e apresentação do trabalho de conclusão de curso.",339,,
faculdade de enfermagem nossa senhora das graças (fensg) da universidade de pernambuco (upe),8,gerenciamento em enfermagem,gerenciamento dos serviços de saúde e enfermagem,os modelos administrativos e a organização dos serviços de saúde/enfermagem. o gerenciamento em saúde/enfermagem com ênfase na gerência estratégica. marketing em enfermagem. as práticas gerenciais nos serviços de saúde. o planejamento e a avaliação das ações e serviços de saúde. as políticas de recursos humanos para o sistema único de saúde com ênfase na educação permanente. a gerência de recursos materiais em enfermagem. conhecimento cientifico. pesquisa cientifica. planejamento e elaboração de projeto de pesquisa.,521,,
faculdade três de maio,7,enfermagem em trauma e emergência,atendimento pré-hospitalar,caracterização e reflexão sobre o atendimento pré-hospitalar; aplicação de conhecimentos teóricos e práticos para atender urgências e emergências; aprofundamento de conhecimentos teóricos ligados à assistência de enfermagem pré-hospitalar.,239,,
faculdade três de maio,4,gestão da qualidade e segurança do paciente,auditoria e registros em enfermagem,busca a compreensão e a ampliação de conhecimentos sobre auditoria de enfermagem; exame de questões sobre a avaliação da qualidade da assistência prestada pelos profissionais de saúde; reflexão sobre os registros de enfermagem e a execução das ações em saúde.,259,,
faculdade três de maio,6,enfermagem em saúde da criança e do adolescente,dietoterapia,"caracterização das ferramentas para a assistência integral ao sujeito ou grupo, por meio de noções sobre a utilização da nutrição na promoção, prevenção e reabilitação da saúde, em todas as etapas do ciclo vital; busca de compreensão acerca dos subsídios para a educação nutricional na assistência de enfermagem.",312,,
faculdade três de maio,7,ações educativas em enfermagem,educação e cuidado,reflexão sobre as políticas sociais de saúde e educação; busca a compreensão dos aspectos que entrelaçam a educação e o cuidado às pessoas; caracterização da educação como base do cuidado humanizado.,199,,
faculdade três de maio,8,Estação de Aprendizado_VI,enfermagem e assistência domiciliar,caracterização da modalidade de assistência domiciliar em regime de internação ou acompanhamento esporádico; busca a compreensão da importância do ambiente familiar e domiciliar no tratamento e recuperação do sujeito; caracterização da organização e sistematização da assistência de enfermagem domiciliar.,305,,
faculdade três de maio,7,ações educativas em enfermagem,enfermagem e educação i,"discussão dos aspectos epistemológicos, teóricos e metodológicos da educação que subsidia as ações preventivas e a assistência de enfermagem; orientação sobre planejamento, execução e avaliação das práticas de educação em saúde a partir do conhecimento teórico e prático.",271,,
faculdade três de maio,7,ações educativas em enfermagem,enfermagem e educação ii,"estudo da constituição do docente da enfermagem e as relações interpessoais; reflexão sobre a identidade e os saberes da docência e as competências do facilitador do processo educativo em saúde; experimentação em atividades de extensão que proporcionam ao estudante vivenciar a aula, a palestra e a reunião de grupo.",316,,
